caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr
20121222,20121223,2012.97286734156,2012.97560524857,21275349.5,173662503.724897
20121223,20121224,2012.97560524857,2012.97834315557,-160613100,176725462.511773
20121224,20121225,2012.97834315557,2012.98108106258,235709160,178393999.058264
20121225,20121226,2012.98108106258,2012.98381896959,28096439.2,176431830.461513
20121226,20121227,2012.98381896959,2012.9865568766,-22233250.6,175324942.321394
20121227,20121228,2012.9865568766,2012.9892947836,23202434.8,175635912.045345
20121228,20121229,2012.9892947836,2012.99203269061,-164640738,179252846.560382
20121229,20121230,2012.99203269061,2012.99477059762,-35701812.8,184063992.404816
20121230,20121231,2012.99477059762,2012.99750850462,238808524,181867851.74956
20121231,20130101,2012.99750850462,2013.00024641163,-106958012,175796627.10075
20130101,20130102,2013.00024641163,2013.00298431864,120565183,173482123.574736
20130102,20130103,2013.00298431864,2013.00572222564,21073898.5,174035313.945188
20130103,20130104,2013.00572222564,2013.00846013265,-44854234.7,174212071.051348
20130104,20130105,2013.00846013265,2013.01119803966,92074510.1,173202967.930691
20130105,20130106,2013.01119803966,2013.01393594667,-154001793,175361758.37394
20130106,20130107,2013.01393594667,2013.01667385367,-228427184,175808318.062599
20130107,20130108,2013.01667385367,2013.01941176068,209714507,173848599.936842
20130108,20130109,2013.01941176068,2013.02214966769,-47852088.8,174594700.950516
20130109,20130110,2013.02214966769,2013.02488757469,-196648809,175236531.294134
20130110,20130111,2013.02488757469,2013.0276254817,136558459,173823151.219853
20130111,20130112,2013.0276254817,2013.03036338871,120837695,172908938.461839
20130112,20130113,2013.03036338871,2013.03310129571,138672499,173142982.531779
20130113,20130114,2013.03310129571,2013.03583920272,113723060,172967826.48805
20130114,20130115,2013.03583920272,2013.03857710973,-36166061.8,174953197.169986
20130115,20130116,2013.03857710973,2013.04131501674,-156460714,176071350.310038
20130116,20130117,2013.04131501674,2013.04405292374,86519812.1,175833470.078936
20130117,20130118,2013.04405292374,2013.04679083075,-71485371.7,174939668.743256
20130118,20130119,2013.04679083075,2013.04952873776,-25593059.1,172446137.387881
20130119,20130120,2013.04952873776,2013.05226664476,96852769.8,173042434.680052
20130120,20130121,2013.05226664476,2013.05500455177,5529255.07,173634420.262804
20130121,20130122,2013.05500455177,2013.05774245878,-170493951,173050367.81238
20130122,20130123,2013.05774245878,2013.06048036578,53504411.4,175943783.919751
20130123,20130124,2013.06048036578,2013.06321827279,185002646,178081523.46608
20130124,20130125,2013.06321827279,2013.0659561798,-7050785.61,178252170.533769
20130125,20130126,2013.0659561798,2013.06869408681,-2145049.84,177693638.603074
20130126,20130127,2013.06869408681,2013.07143199381,-272966390,175876134.537918
20130127,20130128,2013.07143199381,2013.07416990082,214286757,173682583.467658
20130128,20130129,2013.07416990082,2013.07690780783,6765869.91,173529079.983731
20130129,20130130,2013.07690780783,2013.07964571483,-32052642.7,175015042.782042
20130130,20130131,2013.07964571483,2013.08238362184,-111069749,175375051.532423
20130131,20130201,2013.08238362184,2013.08512152885,47466821.2,174282125.589517
20130201,20130202,2013.08512152885,2013.08785943585,201141257,174081122.468808
20130202,20130203,2013.08785943585,2013.09059734286,-234096431,173498604.028966
20130203,20130204,2013.09059734286,2013.09333524987,-159511023,173915940.614999
20130204,20130205,2013.09333524987,2013.09607315688,-66510405.9,178271322.427361
20130205,20130206,2013.09607315688,2013.09881106388,49691861.2,181529738.059636
20130206,20130207,2013.09881106388,2013.10154897089,112064526,178744008.011458
20130207,20130208,2013.10154897089,2013.1042868779,-23155210.3,174656183.686693
20130208,20130209,2013.1042868779,2013.1070247849,169392808,175543687.155078
20130209,20130210,2013.1070247849,2013.10976269191,-128895176,177273446.404136
20130210,20130211,2013.10976269191,2013.11250059892,-395653908,177483909.974961
20130211,20130212,2013.11250059892,2013.11523850592,494133268,176376799.494718
20130212,20130213,2013.11523850592,2013.11797641293,55244242.8,177571189.386116
20130213,20130214,2013.11797641293,2013.12071431994,-174027265,176216800.277386
20130214,20130215,2013.12071431994,2013.12345222695,165846493,172604641.884278
20130215,20130216,2013.12345222695,2013.12619013395,-185192478,176303153.403449
20130216,20130217,2013.12619013395,2013.12892804096,-131096267,176613114.462092
20130217,20130218,2013.12892804096,2013.13166594797,-123985218,174689832.560456
20130218,20130219,2013.13166594797,2013.13440385497,226361826,176372385.026682
20130219,20130220,2013.13440385497,2013.13714176198,-198681888,175621048.567647
20130220,20130221,2013.13714176198,2013.13987966899,278688092,174575772.087653
20130221,20130222,2013.13987966899,2013.14261757599,-15627174.1,174399600.630277
20130222,20130223,2013.14261757599,2013.145355483,-144898501,175852218.922594
20130223,20130224,2013.145355483,2013.14809339001,194021876,175141656.381342
20130224,20130225,2013.14809339001,2013.15083129701,16004147.6,173393321.959065
20130225,20130226,2013.15083129701,2013.15356920402,-82669938.2,172993716.6489
20130226,20130227,2013.15356920402,2013.15630711103,72766819.9,172993987.467773
20130227,20130228,2013.15630711103,2013.15904501804,92388044.4,173041950.405097
20130228,20130301,2013.15904501804,2013.16178292504,81703481.4,173869554.551681
20130301,20130302,2013.16178292504,2013.16452083205,-111432077,176448542.923992
20130302,20130303,2013.16452083205,2013.16725873906,-288197238,176927565.687204
20130303,20130304,2013.16725873906,2013.16999664606,290852864,176471494.015322
20130304,20130305,2013.16999664606,2013.17273455307,-60602981.8,176106215.960709
20130305,20130306,2013.17273455307,2013.17547246008,-105348047,177595833.847531
20130306,20130307,2013.17547246008,2013.17821036708,65771216.6,179006220.003664
20130307,20130308,2013.17821036708,2013.18094827409,-25346924.2,178937355.518628
20130308,20130309,2013.18094827409,2013.1836861811,-178816770,176812641.233595
20130309,20130310,2013.1836861811,2013.18642408811,315299311,174639496.391853
20130310,20130311,2013.18642408811,2013.18916199511,-75576561,174896830.445837
20130311,20130312,2013.18916199511,2013.19189990212,-62606619.9,174777124.647363
20130312,20130313,2013.19189990212,2013.19463780913,104750569,174803612.662897
20130313,20130314,2013.19463780913,2013.19737571613,98769580.7,173440570.225077
20130314,20130315,2013.19737571613,2013.20011362314,-73774187.1,174156816.404067
20130315,20130316,2013.20011362314,2013.20285153015,-135740214,176236992.144101
20130316,20130317,2013.20285153015,2013.20558943715,149104127,174769628.9405
20130317,20130318,2013.20558943715,2013.20832734416,70231159.8,176578734.563367
20130318,20130319,2013.20832734416,2013.21106525117,-124296585,177463883.086109
20130319,20130320,2013.21106525117,2013.21380315818,-535863218,176366871.038753
20130320,20130321,2013.21380315818,2013.21654106518,620874016,176641524.846226
20130321,20130322,2013.21654106518,2013.21927897219,-222590485,176260531.316571
20130322,20130323,2013.21927897219,2013.2220168792,123739980,178487113.820578
20130323,20130324,2013.2220168792,2013.2247547862,57924490.3,177375557.786297
20130324,20130325,2013.2247547862,2013.22749269321,-74511807.1,175194737.64928
20130325,20130326,2013.22749269321,2013.23023060022,-191235224,175800548.633956
20130326,20130327,2013.23023060022,2013.23296850722,172785756,174802204.791587
20130327,20130328,2013.23296850722,2013.23570641423,102926040,175817290.389768
20130328,20130329,2013.23570641423,2013.23844432124,-116039858,176767106.668633
20130329,20130330,2013.23844432124,2013.24118222825,127573564,175329423.37212
20130330,20130331,2013.24118222825,2013.24392013525,-113622521,176520599.08124
20130331,20130401,2013.24392013525,2013.24665804226,27782606,177422167.724329
20130401,20130402,2013.24665804226,2013.24939594927,-14258002.1,176005643.943596
20130402,20130403,2013.24939594927,2013.25213385627,-176065163,175392866.730663
20130403,20130404,2013.25213385627,2013.25487176328,241178339,176080774.930144
20130404,20130405,2013.25487176328,2013.25760967029,-175984874,176597720.823345
20130405,20130406,2013.25760967029,2013.26034757729,-77695308.6,175771584.449819
20130406,20130407,2013.26034757729,2013.2630854843,51007756.3,174792424.607018
20130407,20130408,2013.2630854843,2013.26582339131,-298457229,176690669.532944
20130408,20130409,2013.26582339131,2013.26856129832,-12561621.7,179029107.968509
20130409,20130410,2013.26856129832,2013.27129920532,316175055,178931023.581714
20130410,20130411,2013.27129920532,2013.27403711233,-4037239.79,176386496.648695
20130411,20130412,2013.27403711233,2013.27677501934,-101632748,174503393.09022
20130412,20130413,2013.27677501934,2013.27951292634,76714542.5,174176916.955146
20130413,20130414,2013.27951292634,2013.28225083335,-217592318,174736723.100784
20130414,20130415,2013.28225083335,2013.28498874036,127008104,175995638.298226
20130415,20130416,2013.28498874036,2013.28772664736,270703055,174114430.476052
20130416,20130417,2013.28772664736,2013.29046455437,-130165789,174358708.127813
20130417,20130418,2013.29046455437,2013.29320246138,43957643.2,176208389.698107
20130418,20130419,2013.29320246138,2013.29594036839,87371047.3,175128054.86272
20130419,20130420,2013.29594036839,2013.29867827539,42254986,174714426.135909
20130420,20130421,2013.29867827539,2013.3014161824,-46783075.9,174990791.472009
20130421,20130422,2013.3014161824,2013.30415408941,-55789864.2,175174228.412743
20130422,20130423,2013.30415408941,2013.30689199641,114362682,174740927.08922
20130423,20130424,2013.30689199641,2013.30962990342,-117621353,176347506.64526
20130424,20130425,2013.30962990342,2013.31236781043,-171051005,176572403.846128
20130425,20130426,2013.31236781043,2013.31510571743,181976398,175286793.855099
20130426,20130427,2013.31510571743,2013.31784362444,20302055.7,174798721.677248
20130427,20130428,2013.31784362444,2013.32058153145,-96216884,174903224.670101
20130428,20130429,2013.32058153145,2013.32331943846,-52536983.2,176909929.907849
20130429,20130430,2013.32331943846,2013.32605734546,-193625886,177400212.795814
20130430,20130501,2013.32605734546,2013.32879525247,183845200,176967637.154368
20130501,20130502,2013.32879525247,2013.33153315948,241721009,178414252.233391
20130502,20130503,2013.33153315948,2013.33427106648,-12723283.1,176093483.411511
20130503,20130504,2013.33427106648,2013.33700897349,31902600.6,172169396.816043
20130504,20130505,2013.33700897349,2013.3397468805,-208188418,173093508.254931
20130505,20130506,2013.3397468805,2013.3424847875,13807427.3,174223842.800003
20130506,20130507,2013.3424847875,2013.34522269451,11253273.5,174366785.541284
20130507,20130508,2013.34522269451,2013.34796060152,-132382049,174064922.083687
20130508,20130509,2013.34796060152,2013.35069850853,324913217,174630016.892858
20130509,20130510,2013.35069850853,2013.35343641553,-129757656,174737428.73237
20130510,20130511,2013.35343641553,2013.35617432254,39332451.8,176280825.105852
20130511,20130512,2013.35617432254,2013.35891222955,-66683499.8,176968281.621312
20130512,20130513,2013.35891222955,2013.36165013655,-237495805,176034696.295929
20130513,20130514,2013.36165013655,2013.36438804356,35822676,175633706.616925
20130514,20130515,2013.36438804356,2013.36712595057,-99458892.9,176464023.528877
20130515,20130516,2013.36712595057,2013.36986385757,338294093,178507417.773044
20130516,20130517,2013.36986385757,2013.37260176458,-164250053,176855633.49806
20130517,20130518,2013.37260176458,2013.37533967159,-154005380,173905374.270032
20130518,20130519,2013.37533967159,2013.3780775786,232775567,174683322.043062
20130519,20130520,2013.3780775786,2013.3808154856,99328988.4,176225459.284406
20130520,20130521,2013.3808154856,2013.38355339261,-254956176,175773127.070096
20130521,20130522,2013.38355339261,2013.38629129962,-457540916,175201809.922158
20130522,20130523,2013.38629129962,2013.38902920662,419994885,174754622.542581
20130523,20130524,2013.38902920662,2013.39176711363,241479394,173490593.116745
20130524,20130525,2013.39176711363,2013.39450502064,-133775319,173428745.022271
20130525,20130526,2013.39450502064,2013.39724292764,404803827,173078581.57496
20130526,20130527,2013.39724292764,2013.39998083465,-412128245,174148532.580668
20130527,20130528,2013.39998083465,2013.40271874166,-295825.14,176501537.670356
20130528,20130529,2013.40271874166,2013.40545664866,-115863178,176671482.41864
20130529,20130530,2013.40545664866,2013.40819455567,63396209.3,177599746.621441
20130530,20130531,2013.40819455567,2013.41093246268,-20245827.2,178292618.187069
20130531,20130601,2013.41093246268,2013.41367036969,65718163.9,178500236.694521
20130601,20130602,2013.41367036969,2013.41640827669,19222619,179022848.821037
20130602,20130603,2013.41640827669,2013.4191461837,12061020.4,177763508.347467
20130603,20130604,2013.4191461837,2013.42188409071,226911220,178945185.461917
20130604,20130605,2013.42188409071,2013.42462199771,-72410021.5,181109445.639922
20130605,20130606,2013.42462199771,2013.42735990472,-373320231,178597582.570426
20130606,20130607,2013.42735990472,2013.43009781173,125586477,175730141.410061
20130607,20130608,2013.43009781173,2013.43283571873,115020349,174681200.190518
